Partlist

Exported from Adapter.brd at 1/8/2024 10:19 AM

EAGLE Version 9.6.2 Copyright (c) 1988-2020 Autodesk, Inc.

Assembly variant: 

Part     Value              Package                     Library             Position (mil)        Orientation

J1       20021521-00010C1LF AMPHENOL_20021521-00010C1LF 20021521-00010C1LF  (500 550)             R90
J2       20021521-00010C1LF AMPHENOL_20021521-00010C1LF 20021521-00010C1LF  (2100 550)            R90
J3                          2X5_NOSILK                  SparkFun-Connectors (1050 350)            R90
J4                          2X5_NOSILK                  SparkFun-Connectors (1500 350)            MR90
